recipe_title;category;subcategory;description;ingredients;directions;num_ingredients;num_steps
Carrot Apple Pancakes;Breakfast And Brunch;Breakfast And Brunch;These carrot apple pancakes, inspired by a carrot apple salad, are more like carrot cake meets apple fritter meets pancakes. If you'd like a perfect bite of a perfect pancake, here it is.;"[""1 cup grated carrot"", ""5 tablespoons unsalted butter"", ""1/8 teaspoon salt"", ""1 teaspoon ginger root"", ""1/4 teaspoon cinnamon"", ""1 teaspoon white sugar"", ""1 large egg"", ""1/2 lemon, juiced"", ""1 apple, unpeeled"", ""1/3 cup chopped walnuts"", ""1/2 cup self-rising flour""]";"[""Peel and grate enough carrot to fill a 1-cup measuring cup, unpacked. Melt 3 tablespoons butter in a large nonstick skillet over medium-high heat. Add grated carrots and salt, and cook, stirring, until carrot begins to lose its raw character and softens only slightly, about 2 minutes."", ""Transfer carrots into a bowl, and add ginger, cinnamon, white sugar, egg, and lemon juice. Stir well to combine. Grate apple into the bowl, and stir to combine."", ""Add self-rising flour, and stir until it disappears. Let batter rest about 5 minutes. Meanwhile, melt remaining 2 tablespoons butter in the same skillet used for carrots over medium heat."", ""Once the butter melts, transfer in about 1/4 cup batter per pancake, and flatten slightly with the back of the spoon. Cook pancakes until browned and cooked through, about 3 minutes per side."", ""Serve topped with an optional spoon of yogurt, maple syrup, and chopped walnuts if desired.""]";11;5
Cottage Cheese and Egg Bake;Breakfast And Brunch;Breakfast And Brunch;This tasty cottage cheese and egg bake, with spinach, mushrooms, and red pepper, works as a breakfast item, with toast and fresh fruit, or as the main event for lunch, with a side salad.;"[""cooking spray"", ""1 tablespoon unsalted butter"", ""4 ounces sliced mushrooms"", ""3/4 cup red bell pepper"", ""4 green onions"", ""1 cup fresh spinach"", ""salt and freshly ground black pepper"", ""6 large eggs"", ""3/4 cup cottage cheese"", ""3 to 5 drops tabasco, or to taste""]";"[""Preheat the oven to 375 degrees F (190 degrees C). Spray an 8x8-inch cake pan with cooking spray, and set aside."", ""Heat butter in a skillet over medium heat. Add mushrooms, red bell pepper, and white parts of green onions. Cook, stirring, until vegetables are tender, but not quite done, 3 to 5 minutes."", ""Stir in spinach; cook until wilted. Remove from heat and set aside. Season with salt and pepper."", ""Break eggs into a mixing bowl and stir until yolks and whites are well combined. Stir in cottage cheese and Tabasco sauce. Stir in cooked vegetables, and pour egg and vegetable mixture into the prepared pan."", ""Bake in the preheated oven until mixture is set, 30 to 35 minutes, or until the mixture is set. Remove from the oven and let stand about 5 minutes."", ""Garnish with reserved diced green onion tops and serve warm.""]";10;6
Berry Cottage Cheese Breakfast Bowl;Breakfast And Brunch;Breakfast And Brunch;This berry cottage cheese breakfast bowl is a simple, nourishing bowl that's both refreshing and filling. Berries, pistachios, and flaxseed top low-fat cottage cheese for a nourishing, hearty breakfast that is also beautiful to look at.;"[""1/2 cup low-fat cottage cheese"", ""2 large strawberries"", ""3 raspberries"", ""3 blackberries"", ""1 tablespoon pistachios"", ""1 teaspoon flaxseed"", ""1 tablespoon honey""]";"[""Place cottage cheese into a small bowl. Arrange strawberries, raspberries, blackberries, pistachios, and flaxseed side-by-side on top. Drizzle with honey.""]";7;1
Maple Pancake Shot;Breakfast And Brunch;Breakfast And Brunch;This maple pancake whiskey shot is served with an orange juice chaser and a strip of candied bacon, a fun way to start off a brunch.;"[""2 strips bacon"", ""1 tablespoon maple syrup"", ""4 ounces whiskey"", ""2 ounces butterscotch schnapps"", ""1 cup orange juice""]";"[""Add bacon to a skillet over medium heat, and cook until nearly crisp, about 7 minutes. Pour syrup over bacon, and cook until syrup is reduced, about 30 seconds more. Remove from heat and allow to cool. Syrup will harden like candy."", ""Pour 1 ounce whiskey and 1/3 ounce butterscotch schapps into each of 4 shot glasses."", ""Pour 2 ounces orange juice into each of 4 shot glasses or small glasses. Serve each whiskey shot with a shot of orange juice as a chaser, and a piece of bacon on the side.""]";5;3
Chinese Eggs in Puff Pastry;Breakfast And Brunch;Breakfast And Brunch;These Chinese eggs in puff pastry were inspired by Chinese street food.;"[""1 (14-16 ounce) sheet puff pastry"", ""7 eggs"", ""1 tablespoon water"", ""1/4 teaspoon salt"", ""1/4 cup toasted sesame seeds"", ""1/2 teaspoon five-spice powder"", ""3/4 cup scallion"", ""1 tablespoon light soy sauce"", ""2 teaspoons chili oil""]";"[""Gather all ingredients and preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper."", ""Lightly flour your work surface. Roll out puff pastry sheet into a 12x16-inch rectangle using a rolling pin, about \u215b inch thin. Transfer the dough to the prepared baking sheet and fold over the edges to form a \u00bd-inch wide crust."", ""Beat 1 egg with 1 tablespoon of water to make an egg wash. Brush egg wash onto the puff pastry to help the sesame seeds and scallions adhere. Use a fork to poke holes all over the middle of the puff pastry. Score the inner edge of the crust with a paring knife."", ""Sprinkle sesame seeds liberally over the crust. then sprinkle salt and five spice powder evenly over the center of the puff pastry. (Sprinkle from higher up to make sure it's evenly distributed.) Follow with a little over half of the scallions."", ""Pre-bake puff pastry in the preheated oven until puffed up and lightly browned, 20 to 22 minutes. Remove from the oven and use a spoon to make 6 indentations into the pastry evenly spaced apart. Crack an egg into each indentation."", ""Bake puff pastry and eggs for an additional 6 to 10 minutes, depending on how runny or firm you like your yolks. Keep in mind, they will continue to cook a bit after you take them out of the oven."", ""Mix soy sauce and chili oil, and drizzle evenly over the eggs. Top with the remaining scallions, cut into 6 pieces, and serve!""]";9;7
Veggie Breakfast Egg Bake;Breakfast And Brunch;Breakfast And Brunch;This colorful veggie breakfast egg bake is tasty and versatile. You can use different vegetables depending on your preference.;"[""3 pound Yukon Gold potatoes"", ""1 tablespoon extra-virgin olive oil"", ""1/2 teaspoon sea salt"", ""ground black pepper""]";"[""Gather all ingredients and preheat the oven to 425 degrees F (218 degrees C). Line a baking sheet with parchment paper."", ""Place potatoes on the baking sheet and toss with olive oil, salt, and several grinds of pepper. Spread out evenly on the baking sheet and roast until tender and browned, 20 to 25 minutes."", ""Reduce oven temperature to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with olive oil. Whisk together eggs, milk, and \u00bc teaspoon salt in a large bowl. Set aside."", ""Meanwhile, heat olive oil in a large skillet over medium heat. Add onion and season with 1 teaspoon salt, and several grinds of pepper. Cook, stirring occasionally, until onion is soft and translucent, 5 to 8 minutes. Add bell peppers and garlic; cook, stirring occasionally, for 2 minutes. Add spinach and \u00bd of the green onions and toss until spinach is just wilted."", ""Spread out potatoes in an even layer in the prepared baking dish. Top with 1 cup Cheddar cheese, followed by the saut\u00e9ed veggies. Pour egg mixture on top and sprinkle with remaining \u00bd cup Cheddar cheese and green onions."", ""Bake in the preheated oven until eggs are set, 40 to 45 minutes."", ""Let stand for 5 minutes before slicing and serving.""]";4;7
Easy Pumpkin Sausage Pancakes;Breakfast And Brunch;Breakfast And Brunch;These easy pumpkin sausage pancakes are a fall breakfast treat! Fully cooked sausage patties are dipped in pumpkin pancake batter, then griddled until golden, and served with syrup.;"[""2 cups pancake mix"", ""1 (15 ounce) can pumpkin puree"", ""1 1/2 cups milk"", ""2 (8 count) packages sausage patties"", ""1 cup syrup, or as needed for serving""]";"[""Add pancake mix, pumpkin, and milk to a bowl and stir until well combined."", ""Heat a nonstick skillet over medium heat. Working in batches, dip each sausage patty into pancake batter, and cook in the skillet until golden, 3 to 4 minutes per side."", ""Serve immediately with syrup or refrigerate until ready to serve.""]";5;3
Sheet Pan Sweet Potato-Orange Breakfast Tacos;Breakfast And Brunch;Breakfast And Brunch;In these sheet pan sweet pototo-orange breakfast tacos, fresh orange brightens vegetarian tacos that will power you through the a.m. hustle and bustle. Skip the cotija cheese to make these vegan friendly.;"[""1 small orange"", ""1 tablespoon agave nectar"", ""1 tablespoon olive oil"", ""1/2 teaspoon salt"", ""1/2 teaspoon smoked paprika"", ""1/4 teaspoon ground black pepper"", ""1/4 teaspoon ground cumin"", ""1 pinch ground cinnamon"", ""1 pinch cayenne pepper"", ""1 (15 ounce) can pinto beans, drained and rinsed"", ""1 sweet potato"", ""1 Fresno chile or jalapeno pepper,"", ""8 (6 inch) corn tortillas"", ""1 avocado"", ""crumbled cotija cheese""]";"[""Preheat the oven to 400 degrees F (200 degrees C). Line a 10x15-inch rimmed sheet pan with parchment paper or foil. Juice 1 orange half (about 2 tablespoons). If you like, slice the remaining half and reserve for serving."", ""Whisk together orange juice, agave nectar, oil, salt, paprika, black pepper, cumin, cinnamon, and cayenne in a large bowl. Add beans, sweet potato, and Fresno pepper; toss to combine. Spread on prepared sheet pan."", ""Roast until sweet potatoes are tender, stirring halfway through, about 30 minutes. (To make ahead, chill sweet potato mixture for up to 4 days. Reheat before using in Step 4.)"", ""Working quickly, run each tortilla under running water to wet on all sides. Arrange tortillas evenly over sweet potato mixture. Roast, turning tortillas halfway through, until warmed through, about 3 minutes."", ""Spoon sweet potato mixture into tortillas. Top with avocado. Serve with reserved orange slices and cotija.""]";15;5
Sheet Pan Pumpkin-Spice French Toast;Breakfast And Brunch;Breakfast And Brunch;This sheet pan pumpkin spice French toast is sweetened with flavored coffee creamer. For extra fall flavor, top off this breakfast dish with pumpkin butter.;"[""3 large eggs"", ""2/3 cup pumpkin spice coffee creamer"", ""1/3 cup canned pumpkin"", ""1/4 cup maple syrup"", ""1/4 teaspoon salt"", ""1 (16 ounce) loaf French bread"", ""2 teaspoons pumpkin pie spice or ground cinnamon"", ""pumpkin butter, pumpkin butter,""]";"[""Preheat the oven to 350 degrees F (180 degrees C). Coat a 10x15-inch rimmed sheet pan with cooking spray or line with parchment paper."", ""Whisk together eggs, creamer, pumpkin, maple syrup, and salt in a bowl; pour into a shallow dish. Soak bread slices in egg mixture, turning once, until well soaked. Shingle bread slices in the prepared pan; sprinkle with pumpkin pie spice."", ""Bake in the preheated oven until golden brown, 25 to 30 minutes. Serve with pumpkin butter, almonds, powdered sugar, and/or additional maple syrup.""]";8;3
Sheet Pan Breakfast Pizza;Breakfast And Brunch;Breakfast And Brunch;Pop open crescent roll dough and whisk together eggs for a low-effort cheesy breakfast pizza topped with hash browns and Canadian-style bacon.;"[""cooking spray"", ""2 (8-ounce) packages crescent dough sheets or refrigerated crescent rolls"", ""12 ounces bacon, quartered"", ""1 1/2 cups hash brown potatoes, thawed"", ""2 cups shredded Cheddar cheese, divided"", ""12 large eggs"", ""1/3 cup milk"", ""1/2 teaspoon salt"", ""1/8 teaspoon black pepper, plus more for garnish"", ""chopped fresh chives and/or green onion, for garnish"", ""flaky salt, for garnish"", ""hot sauce, for serving""]";"[""Preheat the oven to 375 degrees F (190 degrees C). Coat a 11x17-inch rimmed sheet pan with cooking spray."", ""Place crescent dough sheets on the prepared sheet pan. Press seams together to seal, stretching slightly if needed to fit the pan. (If using crescent roll dough, press seams of triangles together.) Pinch dough so it comes up the sides of the pan."", ""Evenly sprinkle Canadian bacon over the dough. Spread hash browns over Canadian bacon and sprinkle with 1 1/2 cups cheese."", ""Whisk together eggs, milk, table salt, and pepper in a bowl until smooth. Pour evenly over mixture in the sheet pan. Sprinkle with remaining 1/2 cup Cheddar cheese."", ""Bake until eggs are set and crust is lightly browned, 30 to 35 minutes. Garnish with chives, green onion, flaky salt, and/or additional pepper. Serve with hot sauce.""]";12;5
Banana Bread French Toast;Breakfast And Brunch;Breakfast And Brunch;Banana bread is used as the base for this delicious French toast variation. Serve with extra banana slices and pecans.;"[""1 oaf banana bread"", ""3 large eggs"", ""1 cup milk"", ""1/4 cup all-purpose flour"", ""1 tablespoon cinnamon"", ""1 tablespoon sugar"", ""1 teaspoon vanilla bean extract"", ""1 pinch salt"", ""2 tablespoons unsalted butter"", ""2 bananas"", ""1/4 cup chopped pecans"", ""1/4 cup syrup"", ""1/4 cup confectioner's sugar""]";"[""Slice banana bread loaf into 3/4- to 1-inch thick slices. Whisk eggs, milk, flour, cinnamon, sugar, vanilla extract, and salt together in a bowl."", ""Dip each banana bread slice into egg mixture; alternately, place slices into a baking dish, pour egg mixture over the top, and let sit for 5 to 10 minutes."", ""Heat 1 tablespoon butter in a large skillet over medium heat. Toast 3 to 4 slices in the skillet until golden brown, 3 to 4 minutes per side; repeat with remaining butter and bread slices."", ""Serve immediately with fresh slices of banana, chopped pecans, syrup, and a sprinkle of confectioners sugar.""]";13;4
Loaf Pan Frittata;Breakfast And Brunch;Breakfast And Brunch;This loaf pan frittata is a great alternative method for making frittata, plus it's easier. Use any type of greens you like, bell peppers, and potatoes, or whatever vegetables you have on hand. My favorite way to serve it is on plain toast with a garlic aioli or lemon mayonnaise, and a small green salad on the side.;"[""1/4 cup olive oil, divided"", ""10 ounces baby spinach"", ""12 large eggs"", ""1 1/2 teaspoons kosher salt"", ""1/2 teaspoon ground black pepper"", ""1 pinch cayenne pepper"", ""1/2 cup onion"", ""1 large red bell pepper"", ""1 1/2 cups cooked potatoes"", ""4 ounces mild Cheddar or fontina cheese, shredded""]";"[""Preheat the oven to 350 degrees F (180 degrees C). Grease a 9x5-inch loaf pan and line with parchment."", ""Add 1 tablespoon olive oil to a large skillet over medium-high heat. Add spinach and cook, stirring, until just barely wilted, 1 to 2 minutes. Place a strainer over a bowl; transfer in spinach and let cool. When cool enough to handle, squeeze out all excess water, and set aside."", ""Crack eggs into a bowl; whisk with salt, black pepper, and cayenne until egg whites disappear. Refrigerate until needed."", ""Add remaining olive oil to the same skillet and place over medium-high heat. Add shallots, red pepper, and a big pinch of salt; cook, stirring, until peppers are nearly tender, about 4 minutes. Reduce heat to medium if vegetables are browning before getting tender."", ""Add potatoes, season to taste with salt, and, and cook, stirring, until potatoes are heated through and vegetables are tender, a few minutes more."", ""Add spinach and egg mixture, and cook, stirring, until a very soft scramble is formed. Turn off the heat and stir in cheese. Pour into the prepared pan. Tap the pan on the counter a few times to settle the contents down."", ""Bake in the preheated oven until a bamboo skewer inserted near the center comes out clean, 20 to 25 minutes. Cooking time will vary depending on how much or which vegetables you use in the frittata."", ""Let frittata cool for about 10 minutes, then remove from the pan. Frittata can be served hot, warm, at room temperature, or cold.""]";10;8
